,HMEC,GM12878,IMR90,HUVEC,NHEK
chr13,0.91,0.91,0.91,0.92,0.96
chr17,0.9,0.9,0.92,0.91,0.9
chr16,0.9,0.85,0.92,0.93,0.91
chr12,0.88,0.83,0.89,0.87,0.91
chr6,0.83,0.77,0.85,0.77,0.84
chr8,0.86,0.88,0.87,0.83,0.93
chr4,0.88,0.88,0.86,0.85,0.93
chr7,0.9,0.91,0.94,0.92,0.92
chr15,0.95,0.9,0.96,0.97,0.98
chr11,0.89,0.87,0.89,0.88,0.93
chr14,0.94,0.93,0.94,0.93,0.97
chr19,0.9,0.84,0.88,0.92,0.85
chr1,0.42,0.9,0.48,0.51,0.52
chrX,0.8,0.81,0.87,0.79,0.82
chr2,0.28,0.38,0.34,0.36,0.31
chr10,0.89,0.88,0.89,0.9,0.95
chr20,0.75,0.83,0.88,0.83,0.85
chr5,0.86,0.87,0.89,0.84,0.94
chr21,0.91,0.92,0.94,0.94,0.96
chr22,0.92,0.96,0.96,0.96,0.96
chr18,0.84,0.86,0.82,0.83,0.9
chr3,0.88,0.86,0.88,0.84,0.91
chr9,0.9,0.91,0.92,0.94,0.83
