,HMEC,GM12878,IMR90,HUVEC,NHEK
chr13,0.93,0.91,0.93,0.23,0.21
chr17,0.9,0.19,0.16,0.15,0.16
chr16,0.2,0.27,0.91,0.9,0.92
chr12,0.9,0.14,0.11,0.85,0.1
chr6,0.22,0.72,0.15,0.8,0.8
chr8,0.87,0.07,0.88,0.86,0.09
chr4,0.82,0.8,0.18,0.18,0.9
chr7,0.87,0.84,0.88,0.91,0.19
chr15,0.27,0.27,0.98,0.27,0.27
chr11,0.11,0.12,0.88,0.88,0.93
chr14,0.94,0.21,0.94,0.23,0.23
chr19,0.16,0.21,0.9,0.14,0.18
chr1,0.39,0.39,0.36,0.36,0.36
chrX,0.83,0.85,0.88,0.8,0.8
chr2,0.31,0.37,0.22,0.23,0.26
chr10,0.91,0.12,0.87,0.12,0.1
chr20,0.73,0.21,0.9,0.85,0.26
chr5,0.81,0.8,0.8,0.14,0.11
chr21,0.91,0.29,0.3,0.95,0.3
chr22,0.39,0.4,0.95,0.97,0.91
chr18,0.11,0.87,0.17,0.14,0.1
chr3,0.11,0.07,0.1,0.83,0.92
chr9,0.92,0.26,0.29,0.27,0.42
